year,oa_soc_vir,ya_soc_vir,oa_soc_vic,ya_soc_vic,oa_ability_vir,ya_ability_vir,oa_ability_vic,ya_ability_vic,oa_soc,oa_ability,oa_virtue,oa_vice,ya_soc,ya_ability,ya_virtue,ya_vice,ya_diff,ya_sum
1950,0.26230606,0.39551786,0.30246562,0.2449491,0.1635989,0.35360885,0.52945185,0.36605865,-0.040159553,-0.36585295,0.21295248,0.41595873,0.15056875,-0.012449801,0.37456334,0.30550388,0.06905946,0.6800672
1951,0.2271088,0.41502434,0.3237899,0.31351137,0.11517473,0.3121956,0.4805373,0.37271744,-0.09668109,-0.36536255,0.17114177,0.4021636,0.10151297,-0.06052184,0.36360997,0.3431144,0.020495564,0.7067244
1952,0.2984702,0.4248599,0.1982288,0.10333547,0.1495342,0.32574895,0.43713537,0.2672252,0.10024139,-0.28760117,0.2240022,0.3176821,0.32152444,0.058523744,0.37530443,0.18528034,0.1900241,0.5605848
1953,0.26566994,0.4416504,0.2992664,0.19250225,0.1522884,0.3799864,0.6294333,0.43345362,-0.033596456,-0.47714487,0.20897917,0.46434984,0.24914815,-0.053467214,0.4108184,0.31297794,0.09784046,0.72379637
1954,0.23910905,0.4272902,0.38008368,0.21127856,0.11410308,0.40914798,0.5540913,0.35990712,-0.14097463,-0.4399882,0.17660606,0.46708748,0.21601164,0.049240857,0.4182191,0.28559285,0.13262624,0.70381194
1955,0.282652,0.42532998,0.46134418,0.28846538,0.26243445,0.46848232,0.69029963,0.39952302,-0.17869219,-0.42786518,0.27254322,0.5758219,0.1368646,0.068959296,0.44690615,0.3439942,0.10291195,0.79090035
1956,0.31880417,0.42543232,0.4436013,0.2841637,0.23348661,0.4145887,0.5694686,0.31401417,-0.124797136,-0.33598202,0.2761454,0.50653493,0.14126861,0.10057452,0.4200105,0.29908895,0.12092155,0.71909946
1957,0.3255195,0.44628632,0.36773342,0.30891684,0.14938141,0.36051637,0.4732484,0.40453076,-0.042213917,-0.32386696,0.23745045,0.42049092,0.13736948,-0.044014394,0.40340135,0.3567238,0.04667756,0.76012516
1958,0.35226226,0.3723212,0.3222829,0.19850206,0.09863605,0.264256,0.4785792,0.31765258,0.029979348,-0.37994313,0.22544916,0.40043104,0.17381912,-0.053396583,0.3182886,0.25807732,0.06021127,0.57636595
1959,0.30208516,0.4035496,0.32161134,0.21714917,0.093565956,0.31049216,0.50123394,0.3401868,-0.019526184,-0.407668,0.19782555,0.41142264,0.18640044,-0.029694647,0.35702088,0.278668,0.0783529,0.6356889
1960,0.28492764,0.3568956,0.17002478,0.062502906,0.06908027,0.30530733,0.5111848,0.34721577,0.114902854,-0.44210455,0.17700395,0.34060478,0.2943927,-0.041908443,0.33110148,0.20485935,0.12624213,0.5359608
1961,0.31757933,0.40837872,0.22397408,0.1756886,0.15665698,0.30509287,0.52034104,0.3200696,0.09360525,-0.36368406,0.23711815,0.37215757,0.23269013,-0.01497674,0.3567358,0.2478791,0.10885669,0.6046149
1962,0.3302169,0.41036654,0.37571353,0.2621649,0.2718561,0.3804119,0.6247072,0.42332596,-0.045496613,-0.35285112,0.3010365,0.5002104,0.14820164,-0.042914063,0.3953892,0.34274542,0.052643776,0.7381346
1963,0.23782462,0.36934114,0.20022044,0.08764555,0.19659385,0.29122347,0.6063373,0.3903569,0.037604183,-0.40974346,0.21720923,0.4032789,0.28169557,-0.09913343,0.3302823,0.23900123,0.09128107,0.56928355
1964,0.23404321,0.33367294,0.1554465,0.06795123,0.21229582,0.28494477,0.5262362,0.31411332,0.07859671,-0.31394035,0.2231695,0.34084135,0.2657217,-0.029168546,0.30930886,0.19103228,0.11827658,0.5003411
1965,0.22227575,0.3055322,0.10114606,0.03091764,0.14713213,0.25095034,0.51180667,0.26566422,0.12112969,-0.36467454,0.18470395,0.30647635,0.27461454,-0.014713883,0.27824128,0.14829093,0.12995034,0.4265322
1966,0.21622789,0.19079459,0.08449043,0.019851433,-0.02051534,0.07822583,0.41726696,0.16347025,0.13173746,-0.43778232,0.097856276,0.2508787,0.17094316,-0.085244425,0.1345102,0.09166084,0.042849362,0.22617105
1967,0.2619573,0.27811274,0.028971594,0.032881856,0.16622871,0.18966879,0.36466405,0.18410751,0.23298569,-0.19843534,0.214093,0.19681782,0.24523088,0.0055612773,0.23389077,0.108494684,0.12539609,0.34238547
1968,0.2164846,0.19035152,0.032891806,0.12736294,0.09563494,0.15607226,0.35877126,0.272996,0.1835928,-0.26313633,0.15605977,0.19583154,0.06298858,-0.11692375,0.17321189,0.20017947,-0.026967585,0.37339136
1969,0.16206446,0.21589643,0.055725418,0.13043407,-0.010902576,0.1152314,0.48068845,0.34019393,0.106339045,-0.49159104,0.07558094,0.26820692,0.08546236,-0.22496253,0.16556391,0.235314,-0.069750085,0.4008779
1970,0.147727,0.19709928,0.015772603,0.019404717,0.08737367,0.119669124,0.48015824,0.23524079,0.1319544,-0.39278457,0.11755033,0.24796543,0.17769456,-0.11557166,0.1583842,0.12732275,0.031061456,0.28570694
1971,0.10869539,0.23862506,0.10492374,0.095249,0.102117755,0.18189433,0.49279976,0.2456882,0.0037716478,-0.390682,0.10540657,0.29886174,0.14337607,-0.06379387,0.2102597,0.1704686,0.039791107,0.3807283
1972,0.17334823,0.31573927,0.035214044,-0.0047980472,0.093576446,0.24285427,0.40753004,0.20053858,0.13813418,-0.31395358,0.13346234,0.22137204,0.32053733,0.04231569,0.27929676,0.09787026,0.1814265,0.37716702
1973,0.14199714,0.3003596,0.15273303,-0.019872457,0.025117412,0.16579905,0.55507696,0.30573985,-0.010735884,-0.52995956,0.08355728,0.353905,0.32023206,-0.1399408,0.23307933,0.1429337,0.09014563,0.37601304
1974,0.15380314,0.2735891,0.15353286,0.027941003,0.06768878,0.12771177,0.5260042,0.26422083,0.00027027726,-0.45831543,0.11074596,0.33976853,0.2456481,-0.13650906,0.20065044,0.14608091,0.054569528,0.34673136
1975,0.16989404,0.2395458,0.12355081,-0.026376799,0.03990704,0.16498065,0.4278233,0.16249283,0.04634323,-0.38791627,0.10490054,0.27568707,0.2659226,0.0024878234,0.20226324,0.068058014,0.13420522,0.27032125
1976,0.32821396,0.26445326,0.011651576,-0.05690137,0.06700003,0.14424272,0.40855896,0.3024777,0.31656238,-0.34155893,0.197607,0.21010527,0.32135463,-0.15823497,0.204348,0.12278816,0.08155984,0.32713616
1977,0.34120303,0.3042621,0.17279558,0.1119805,0.1374959,0.2742771,0.52122974,0.32411298,0.16840746,-0.38373384,0.23934947,0.34701267,0.1922816,-0.04983589,0.2892696,0.21804674,0.07122286,0.50731635
1978,0.30126822,0.3928869,0.28299353,0.19347924,0.17670785,0.37989062,0.5583732,0.3757766,0.018274695,-0.38166535,0.23898804,0.42068338,0.19940767,0.004114032,0.38638878,0.2846279,0.101760864,0.6710167
1979,0.38671973,0.42262423,0.32301307,0.27058908,0.22781418,0.3547566,0.48127556,0.37586272,0.063706666,-0.25346136,0.30726695,0.4021443,0.15203515,-0.021106124,0.3886904,0.32322592,0.0654645,0.7119163
1980,0.4010214,0.49671435,0.5297736,0.41851187,0.2941469,0.43959352,0.6113064,0.47840554,-0.1287522,-0.31715953,0.34758413,0.57054,0.078202486,-0.03881201,0.46815395,0.4484587,0.019695252,0.9166126
1981,0.459469,0.49520335,0.4951128,0.36391822,0.21440175,0.36114466,0.5513031,0.4222104,-0.035643816,-0.33690134,0.33693537,0.52320796,0.13128513,-0.061065733,0.42817402,0.39306432,0.0351097,0.82123834
1982,0.45862255,0.49856472,0.5072977,0.39822617,0.13530205,0.3402526,0.5321001,0.41142002,-0.04867515,-0.396798,0.2969623,0.51969886,0.10033855,-0.07116741,0.41940868,0.4048231,0.014585584,0.82423174
1983,0.45585966,0.50290656,0.52545714,0.37850678,0.21611096,0.3877299,0.57547605,0.43212187,-0.06959748,-0.3593651,0.3359853,0.5504666,0.12439978,-0.04439196,0.44531822,0.40531433,0.040003896,0.85063255
1984,0.4255095,0.49747944,0.57733226,0.36480343,0.24183661,0.42913455,0.5927595,0.39231497,-0.15182275,-0.35092288,0.33367306,0.5850459,0.132676,0.036819577,0.463307,0.3785592,0.08474779,0.8418662
1985,0.4843458,0.47463155,0.5446514,0.3344143,0.2672571,0.4129506,0.5915495,0.39536902,-0.060305595,-0.32429242,0.37580144,0.56810045,0.14021724,0.017581582,0.4437911,0.36489165,0.07889944,0.80868274
1986,0.4619301,0.4831624,0.5791599,0.42669111,0.2763291,0.44923562,0.59048706,0.47044158,-0.11722982,-0.31415796,0.3691296,0.5848235,0.05647129,-0.021205962,0.466199,0.44856635,0.017632663,0.91476536
1987,0.48266044,0.44371736,0.57151604,0.4318468,0.2781026,0.40444657,0.6499952,0.5098974,-0.088855594,-0.3718926,0.38038152,0.6107556,0.011870563,-0.10545084,0.42408198,0.4708721,-0.046790123,0.8949541
1988,0.52155054,0.4772694,0.6282577,0.5024322,0.36597353,0.44373712,0.65350926,0.5226085,-0.106707156,-0.28753573,0.44376203,0.64088345,-0.025162816,-0.0788714,0.46050328,0.5125204,-0.052017093,0.97302365
1989,0.48158985,0.46383756,0.59728813,0.5227985,0.28173405,0.38823038,0.605754,0.5112138,-0.11569828,-0.32401997,0.38166195,0.6015211,-0.058960915,-0.122983396,0.42603397,0.51700616,-0.090972185,0.94304013
1990,0.4809494,0.45188957,0.5616269,0.46243054,0.17733109,0.35221308,0.62359494,0.4682806,-0.08067751,-0.44626385,0.32914025,0.59261096,-0.010540962,-0.11606753,0.40205133,0.46535558,-0.063304245,0.8674069
1991,0.46768692,0.46214285,0.6354891,0.49257934,0.18695056,0.35084462,0.6542907,0.49396276,-0.16780218,-0.4673401,0.32731873,0.6448899,-0.030436486,-0.14311814,0.40649372,0.49327105,-0.08677733,0.8997648
1992,0.5508646,0.5136329,0.643024,0.4868126,0.350902,0.45924333,0.6922771,0.51824176,-0.09215945,-0.34137508,0.45088327,0.6676506,0.026820302,-0.058998436,0.4864381,0.5025272,-0.016089082,0.9889653
1993,0.5668142,0.53550726,0.60107774,0.43835574,0.3378787,0.47926152,0.63981813,0.4811931,-0.03426355,-0.30193943,0.45234644,0.62044793,0.09715152,-0.0019315779,0.5073844,0.45977443,0.047609985,0.96715885
1994,0.518442,0.46142665,0.6242254,0.46537232,0.24294014,0.38612163,0.6071677,0.43574762,-0.1057834,-0.3642276,0.38069105,0.61569655,-0.0039456785,-0.049625993,0.42377412,0.45055997,-0.02678585,0.8743341
1995,0.4953259,0.43240225,0.56663114,0.36593443,0.21990672,0.37768668,0.5801887,0.37366843,-0.071305245,-0.36028197,0.3576163,0.5734099,0.06646782,0.004018247,0.40504447,0.36980143,0.035243034,0.7748459
1996,0.44586995,0.45818013,0.53034174,0.40727735,0.17930084,0.36540788,0.54051954,0.42828527,-0.08447179,-0.3612187,0.3125854,0.53543067,0.050902784,-0.06287739,0.411794,0.4177813,-0.0059872866,0.8295753
