year,lower,upper,mean
1950,0.009542198106646539,0.07634681649506092,0.04277627
1951,-0.0037555690854787827,0.052492769807577125,0.025266957
1952,0.0292460385710001,0.09461233168840408,0.061158128
1953,0.021279924362897874,0.10319586992263793,0.06273696
1954,0.020394451171159744,0.10764088220894336,0.06622583
1955,0.04566118437796831,0.1421611651778221,0.095402285
1956,0.01860833689570427,0.10799339562654495,0.06663669
1957,0.012999660894274711,0.08971931338310242,0.05379497
1958,0.005017342045903206,0.06492208093404768,0.035328694
1959,0.008726966753602029,0.08316804394125939,0.04786672
1960,0.011532996920868756,0.09295691810548302,0.05237914
1961,-0.0034210417419672005,0.07525408118963242,0.037181664
1962,0.005506797507405283,0.08155673742294312,0.043437615
1963,0.031440805085003375,0.11413742192089557,0.07190056
1964,0.011516711581498385,0.09926895424723625,0.057390306
1965,-0.003708305303007364,0.07103125266730784,0.03441974
1966,0.011470220610499383,0.08410390540957448,0.048250083
1967,0.02323717474937439,0.08049772083759307,0.052484836
1968,-0.036041611991822715,0.021054426208138452,-0.006722425
1969,0.019312535971403123,0.08715667687356471,0.053160843
1970,-0.03054574001580477,0.019591200724244112,-0.004935853
1971,0.0179022952914238,0.09740962423384188,0.05834888
1972,0.025024230405688287,0.09234751835465431,0.058809068
1973,0.036416054144501685,0.12518218234181402,0.08092681
1974,0.014104253053665161,0.08518687821924685,0.050388265
1975,0.009193585254251957,0.07900099940598011,0.04361503
1976,0.013835011422634125,0.07740127295255661,0.04656041
1977,0.01906413435935974,0.08871560133993624,0.055549104
1978,0.02799461707472801,0.0993063986301422,0.064159766
1979,0.01639472022652626,0.08478585295379161,0.051383827
1980,0.005420571751892567,0.07629109732806683,0.042400762
1981,-0.00018034912645816797,0.07545699663460255,0.040180586
1982,0.006096007302403453,0.07773986682295798,0.043085385
1983,0.00633181631565094,0.08098126091063021,0.04586477
1984,-0.0011936362832784652,0.08157903384417295,0.04159442
1985,0.02494343873113394,0.10375760085880756,0.06647017
1986,0.00706099383533001,0.07671483159065245,0.04311444
1987,0.034241655468940736,0.11794266737997532,0.07775004
1988,0.022942392528057097,0.08361442498862744,0.053974327
1989,0.011575348675251007,0.09454865530133247,0.05373123
1990,0.005027695745229722,0.08245034925639627,0.045407034
1991,0.013680919632315639,0.09163579903542994,0.05364568
1992,0.008433791249990464,0.06042592003941536,0.035952386
1993,0.008107881993055344,0.07068108357489108,0.040462866
1994,0.023310005106031893,0.08975635431706905,0.058497634
1995,0.024561043083667754,0.10318143367767334,0.066312075
1996,0.007268446125090123,0.08257619142532348,0.046754435
1997,0.004190919548273088,0.07002863623201847,0.03873069
1998,0.026945578679442406,0.09235339052975178,0.061109163
1999,0.014794804155826569,0.06907503269612789,0.04356786
2000,0.023665709234774113,0.09733517877757548,0.061651953
2001,0.016633783839643004,0.09796233177185058,0.05918294
2002,0.01817757301032543,0.08585209473967552,0.052943863
2003,0.009302381426095963,0.08073715306818484,0.046954338
2004,0.01230908539146185,0.08881293199956417,0.05122203
2005,0.016624461859464645,0.10151991955935954,0.059938285
2006,0.014390722103416922,0.10167660787701606,0.05963919
2007,0.012105343490839004,0.08976291809231042,0.051246308
2008,0.008231102116405965,0.0750770404934883,0.043560237
2009,-0.0019207078963518142,0.06628168672323226,0.033842973
2010,-0.0009993474930524826,0.07161976173520088,0.037607815
2011,0.013645770400762558,0.09602870047092436,0.056079004
2012,0.012451925314962864,0.10466188043355941,0.059310492
2013,0.007724758796393871,0.09107814989984035,0.05058021
2014,0.007350797764956954,0.09907371904700993,0.05325562
2015,0.015843657962977886,0.10267409309744834,0.060820285
2016,0.016823394037783147,0.11710873208940027,0.06832671
2017,0.021439929492771626,0.10292382873594759,0.06397068
2018,0.0224452868103981,0.1162405326962471,0.07058556
2019,0.01540358066558838,0.11504419483244419,0.06531694
2020,0.015322359092533589,0.10040675066411495,0.0591999
2021,0.02417733445763588,0.09936771802604198,0.06337022
