year,lower,upper,mean
1950,0.026259432919323443,0.058058412000536914,0.042470384
1951,0.009450573101639747,0.039903000369668006,0.025325842
1952,0.045159654691815376,0.07697116881608963,0.06070948
1953,0.04152095578610897,0.08257595337927341,0.06264575
1954,0.045111607760190964,0.08772407472133635,0.06647672
1955,0.06900282055139542,0.11838378608226775,0.09485738
1956,0.0442337866872549,0.08765637613832951,0.06621295
1957,0.03403337672352791,0.07149757444858551,0.053358153
1958,0.020274942554533482,0.04954219777137041,0.035093747
1959,0.028957996517419815,0.06526860073208808,0.04797963
1960,0.03255722038447857,0.07102060057222842,0.052189324
1961,0.015426821261644364,0.05565868131816386,0.036930643
1962,0.02386605329811573,0.060947705805301663,0.04276886
1963,0.05196248479187489,0.09119736924767494,0.07144356
1964,0.03347044587135315,0.07732492797076702,0.057088543
1965,0.015760862454771995,0.051007860898971545,0.034149393
1966,0.029501359164714813,0.06548866219818592,0.047809564
1967,0.038135838136076926,0.06634781844913959,0.05192659
1968,-0.02162120938301086,0.007608134672045707,-0.0071382867
1969,0.03484839200973511,0.06874394193291664,0.052632295
1970,-0.017814475297927856,0.006487227976322171,-0.005190349
1971,0.03824016451835632,0.07537631541490554,0.05785549
1972,0.041987026855349545,0.07343233451247215,0.057965312
1973,0.059786758944392206,0.1000411607325077,0.08057912
1974,0.03293587416410446,0.06664481945335865,0.05007028
1975,0.02477237582206726,0.06088785640895367,0.043740798
1976,0.03004077635705471,0.06279801465570926,0.04693988
1977,0.03811980709433556,0.0727597665041685,0.055581924
1978,0.04581887163221836,0.08163870498538016,0.0638117
1979,0.03390751481056213,0.06807022280991078,0.051159173
1980,0.022657613083720208,0.05990751981735229,0.042312484
1981,0.021091851592063903,0.05864100530743599,0.040637072
1982,0.02360011115670204,0.060344760119915006,0.043357383
1983,0.028331061825156212,0.06527727432548999,0.046319168
1984,0.01988126114010811,0.06120914705097675,0.04147729
1985,0.0451635729521513,0.0869481761008501,0.066866055
1986,0.02489082030951977,0.06114343702793121,0.043516833
1987,0.057248688861727716,0.09832800887525081,0.07782664
1988,0.037849700823426244,0.06992896869778634,0.05388835
1989,0.0320943396538496,0.07420754544436932,0.05360922
1990,0.026127405092120172,0.06384702995419503,0.045481175
1991,0.033616978302598,0.07138545811176299,0.05371064
1992,0.021490423008799553,0.0491548303514719,0.03590237
1993,0.023727406933903693,0.056259032711386665,0.04045615
1994,0.0409771915525198,0.07474267370998859,0.058554895
1995,0.045904909074306485,0.08585619293153286,0.06657194
1996,0.02753754556179047,0.06533801928162575,0.04695533
1997,0.022410133853554726,0.05560530424118042,0.03895086
1998,0.04307020455598831,0.07744766883552075,0.060946938
1999,0.029190650954842568,0.056423092260956764,0.04349415
2000,0.04238103032112121,0.07893863096833229,0.06125178
2001,0.03831881321966648,0.07785439826548099,0.05848154
2002,0.03541654162108898,0.06872269697487354,0.052519936
2003,0.02779456153512001,0.0649871677160263,0.04681768
2004,0.031982149183750155,0.06951913684606552,0.05069879
2005,0.03804593961685896,0.07985272035002706,0.059506387
2006,0.03829697873443365,0.08000205904245375,0.059069708
2007,0.031905283033847806,0.07041567265987396,0.051080007
2008,0.025934733636677264,0.059800259768962846,0.04361665
2009,0.017423775419592856,0.04822213053703308,0.033647865
2010,0.01928403917700052,0.055439895391464225,0.037411757
2011,0.03540945537388325,0.07616548910737038,0.055724617
2012,0.03598402347415686,0.0814097050577402,0.05888313
2013,0.029944623447954656,0.06940707676112652,0.05036412
2014,0.02983570285141468,0.07447295151650905,0.052767843
2015,0.037696358561515805,0.08183362111449241,0.06050042
2016,0.042511443607509136,0.09231502823531627,0.06752873
2017,0.04167185053229332,0.082477705553174,0.06305911
2018,0.04618862960487604,0.09238461926579475,0.06989332
2019,0.039905178360641,0.0882874809205532,0.06444656
2020,0.03855975829064846,0.07937371097505093,0.058713134
2021,0.04325348846614361,0.0814977403730154,0.06260894
