year,mean_similarity,95percent_lower,95percent_upper
1950,0.09201188,0.07709383964538574,0.1060904860496521
1951,0.055865124,0.04346767067909241,0.06808453798294067
1952,0.12003042,0.10424278676509857,0.13599857687950134
1953,0.12036111,0.1019110381603241,0.1379377543926239
1954,0.12198149,0.10285930335521698,0.1401871144771576
1955,0.17779037,0.15481361746788025,0.19858914613723755
1956,0.14145558,0.1226765513420105,0.15837593376636505
1957,0.12040542,0.10424870252609253,0.1358184814453125
1958,0.0844199,0.07116089761257172,0.0974709689617157
1959,0.106973976,0.09053611755371094,0.12375414371490479
1960,0.10830769,0.0916825383901596,0.1252034306526184
1961,0.09164072,0.07607938349246979,0.10727271437644958
1962,0.08070812,0.06586948037147522,0.09451207518577576
1963,0.1324999,0.11414274573326111,0.15047591924667358
1964,0.10466685,0.0847027599811554,0.1210557222366333
1965,0.07307109,0.05596423149108887,0.0890093445777893
1966,0.08867415,0.07161462306976318,0.10533265769481659
1967,0.076370716,0.06289133429527283,0.0895102322101593
1968,0.0016592157,-0.011261150240898132,0.016899973154067993
1969,0.074564,0.05909371376037598,0.08873933553695679
1970,-0.0010074883,-0.012513399124145508,0.010732859373092651
1971,0.08764373,0.06903228163719177,0.1047339141368866
1972,0.091733135,0.07552134990692139,0.10621222853660583
1973,0.13192502,0.11330446600914001,0.15053008496761322
1974,0.07819936,0.06218615174293518,0.09376063942909241
1975,0.05961434,0.04460062086582184,0.0756860077381134
1976,0.083918095,0.06837248802185059,0.09805311262607574
1977,0.08584305,0.07113823294639587,0.10080581903457642
1978,0.10384437,0.08770903944969177,0.11874058842658997
1979,0.10215397,0.0861349105834961,0.11694681644439697
1980,0.09006695,0.07369142770767212,0.10515391826629639
1981,0.09495539,0.07858794927597046,0.11168605089187622
1982,0.09910705,0.08280855417251587,0.11407798528671265
1983,0.0967667,0.0801858901977539,0.11296641826629639
1984,0.08363492,0.06618228554725647,0.09946845471858978
1985,0.13581803,0.11769028007984161,0.15280529856681824
1986,0.093008906,0.07733932137489319,0.10782065987586975
1987,0.15210606,0.13401365280151367,0.17050546407699585
1988,0.10697019,0.09279796481132507,0.12107032537460327
1989,0.11142143,0.09302723407745361,0.12867000699043274
1990,0.09318312,0.07665088772773743,0.10885322093963623
1991,0.09717286,0.08051052689552307,0.11293140053749084
1992,0.075332396,0.06238138675689697,0.08796745538711548
1993,0.07977003,0.06547755002975464,0.09322237968444824
1994,0.107716516,0.09229546785354614,0.12211599946022034
1995,0.124838844,0.10701592266559601,0.14060194790363312
1996,0.072841235,0.05727064609527588,0.08768895268440247
1997,0.07827261,0.0637621283531189,0.09273457527160645
1998,0.10917298,0.09407630562782288,0.12504714727401733
1999,0.06837861,0.056484490633010864,0.07984781265258789
2000,0.10981551,0.09321027994155884,0.12510722875595093
2001,0.099907525,0.08197072148323059,0.11646208167076111
2002,0.08430239,0.06923551857471466,0.09885704517364502
2003,0.08884264,0.07295648753643036,0.10456618666648865
2004,0.0988912,0.08052858710289001,0.1164807677268982
2005,0.11991259,0.1003551185131073,0.13951025903224945
2006,0.11421593,0.09543485939502716,0.13247337937355042
2007,0.10872135,0.08872364461421967,0.12620127201080322
2008,0.0969709,0.08120189607143402,0.11377866566181183
2009,0.086693116,0.07084518671035767,0.10212001204490662
2010,0.08906104,0.07323916256427765,0.10497036576271057
2011,0.11539686,0.09620115160942078,0.13396389782428741
2012,0.10924263,0.09212188422679901,0.1278032809495926
2013,0.100305006,0.08189308643341064,0.11682222783565521
2014,0.091257416,0.07324463129043579,0.10968382656574249
2015,0.10676472,0.08872877061367035,0.12438127398490906
2016,0.12905464,0.10799351334571838,0.14992475509643555
2017,0.10707347,0.08913068473339081,0.12261795997619629
2018,0.12437764,0.1041298508644104,0.1434333622455597
2019,0.11665962,0.09557339549064636,0.1373336911201477
2020,0.11984368,0.0983981192111969,0.1405097246170044
2021,0.10229937,0.08335688710212708,0.11917957663536072
