year,mean_similarity,95percent_lower,95percent_upper
1950,0.09197552,0.07889394462108612,0.1049601137638092
1951,0.05597208,0.043494969606399536,0.06670582294464111
1952,0.12004712,0.10456500947475433,0.13424843549728394
1953,0.12026566,0.10176543891429901,0.13703444600105286
1954,0.12262694,0.10301342606544495,0.13932043313980103
1955,0.17807312,0.15634755790233612,0.19852019846439362
1956,0.14090727,0.12310366332530975,0.15948644280433655
1957,0.12049678,0.10443179309368134,0.13537469506263733
1958,0.084182546,0.07154473662376404,0.09584060311317444
1959,0.106734104,0.0915551632642746,0.1209476888179779
1960,0.10807787,0.09125125408172607,0.12337219715118408
1961,0.091357484,0.07647688686847687,0.10547459125518799
1962,0.08098352,0.06751483678817749,0.09523677825927734
1963,0.13285564,0.11604729294776917,0.14870335161685944
1964,0.1048122,0.0879964530467987,0.12047308683395386
1965,0.073418446,0.05777154862880707,0.08834050595760345
1966,0.0892371,0.07391513884067535,0.10404747724533081
1967,0.07646283,0.06346315145492554,0.08917303383350372
1968,0.0014969403,-0.01145850121974945,0.014476507902145386
1969,0.07416242,0.059145763516426086,0.08953580260276794
1970,-0.001262847,-0.011427357792854309,0.009135246276855469
1971,0.08866776,0.07146903872489929,0.10566672682762146
1972,0.09176736,0.07633057236671448,0.1059006005525589
1973,0.13176121,0.11290904879570007,0.14942501485347748
1974,0.07815201,0.06305021047592163,0.09278170764446259
1975,0.0592536,0.0451512485742569,0.07307510077953339
1976,0.08365154,0.06912782788276672,0.09700697660446167
1977,0.085864045,0.07118365168571472,0.09964829683303833
1978,0.10406078,0.0898827612400055,0.11790004372596741
1979,0.10209031,0.08708307147026062,0.11702242493629456
1980,0.09023149,0.07586297392845154,0.10421040654182434
1981,0.094833665,0.07848155498504639,0.10911393165588379
1982,0.09953648,0.08511438965797424,0.1133364737033844
1983,0.09728059,0.08283135294914246,0.11195594072341919
1984,0.084179126,0.0692756175994873,0.09814143180847168
1985,0.13599333,0.11913272738456726,0.15239766240119934
1986,0.09267444,0.07822996377944946,0.10664981603622437
1987,0.15261523,0.13545085489749908,0.1690140962600708
1988,0.10748466,0.09419757127761841,0.12056106328964233
1989,0.11145354,0.09484493732452393,0.12769857048988342
1990,0.09271177,0.07729548215866089,0.10740280151367188
1991,0.096944466,0.08142468333244324,0.11169961094856262
1992,0.075100236,0.06341606378555298,0.08686533570289612
1993,0.08007951,0.06721329689025879,0.09287753701210022
1994,0.1074863,0.09289196133613586,0.12106534838676453
1995,0.12469982,0.10759112238883972,0.14026212692260742
1996,0.07220691,0.057807981967926025,0.08642786741256714
1997,0.07846199,0.06517480313777924,0.09176632761955261
1998,0.10888649,0.09356208145618439,0.12321621179580688
1999,0.06825681,0.05663752555847168,0.07934793829917908
2000,0.10951498,0.09334656596183777,0.1240047812461853
2001,0.10039884,0.08428521454334259,0.1150587797164917
2002,0.08425766,0.0712369829416275,0.09827008843421936
2003,0.08897468,0.07482410967350006,0.10345697402954102
2004,0.09898709,0.0816575437784195,0.11535052955150604
2005,0.11952443,0.10099439322948456,0.13726799190044403
2006,0.11410719,0.09862349927425385,0.13050487637519836
2007,0.10917751,0.09240227937698364,0.12511298060417175
2008,0.09688761,0.08128054440021515,0.11270062625408173
2009,0.087364525,0.0733211487531662,0.09989902377128601
2010,0.08939788,0.073235422372818,0.10508513450622559
2011,0.11551571,0.09884075820446014,0.13244381546974182
2012,0.109268,0.09261678159236908,0.12739518284797668
2013,0.10015076,0.08350901305675507,0.11682230234146118
2014,0.09140109,0.0731096863746643,0.10922367870807648
2015,0.10636408,0.08896040916442871,0.12247882783412933
2016,0.12947048,0.11047777533531189,0.14956258237361908
2017,0.10744019,0.09171105921268463,0.12296473979949951
2018,0.124705285,0.10545827448368073,0.14321836829185486
2019,0.115886144,0.0957389771938324,0.13510096073150635
2020,0.12011084,0.10214784741401672,0.13749617338180542
2021,0.10212578,0.08495436608791351,0.11829452216625214
