year,mean_similarity,95percent_lower,95percent_upper
1950,0.09194917,0.06359675526618958,0.11689546704292297
1951,0.055877745,0.0332396924495697,0.07744219899177551
1952,0.11901557,0.08868575096130371,0.14324527978897095
1953,0.12085935,0.08889953792095184,0.15293243527412415
1954,0.121896975,0.08629393577575684,0.15609177947044373
1955,0.17831625,0.13417692482471466,0.21553128957748413
1956,0.14069183,0.1046576201915741,0.1750408113002777
1957,0.119485624,0.08900460600852966,0.1486155092716217
1958,0.08482946,0.060719385743141174,0.10819122195243835
1959,0.10724485,0.07780566811561584,0.13509541749954224
1960,0.10845272,0.07875503599643707,0.1374499648809433
1961,0.09157278,0.06323561072349548,0.11988106369972229
1962,0.08081607,0.05348882079124451,0.10573509335517883
1963,0.13289452,0.09874975681304932,0.16496574878692627
1964,0.1051671,0.07309004664421082,0.13439485430717468
1965,0.07313952,0.04028917849063873,0.1029655933380127
1966,0.08906008,0.05743768811225891,0.1188773512840271
1967,0.07690549,0.05109144747257233,0.10156208276748657
1968,0.0010033388,-0.022531509399414062,0.026600033044815063
1969,0.07377114,0.04586602747440338,0.10122138261795044
1970,-0.001570801,-0.020891621708869934,0.017771422863006592
1971,0.08833886,0.0534396767616272,0.1212487667798996
1972,0.09238994,0.06380075216293335,0.11784762144088745
1973,0.13136894,0.09722262620925903,0.1637682020664215
1974,0.078598924,0.05057321488857269,0.10530290007591248
1975,0.059532933,0.031447574496269226,0.08796390891075134
1976,0.08412034,0.05642354488372803,0.10810936987400055
1977,0.085494325,0.05762678384780884,0.112181156873703
1978,0.10363466,0.07448682188987732,0.1305321455001831
1979,0.10221398,0.07309216260910034,0.12930431962013245
1980,0.089679584,0.06189480423927307,0.1153789758682251
1981,0.09470715,0.06443458795547485,0.12316107749938965
1982,0.09970277,0.07127678394317627,0.12668341398239136
1983,0.09686208,0.06418310105800629,0.12306687235832214
1984,0.08360057,0.05042734742164612,0.11211079359054565
1985,0.13635199,0.10056519508361816,0.16605256497859955
1986,0.09356948,0.06685730814933777,0.1194046139717102
1987,0.1523608,0.11703412234783173,0.1831672191619873
1988,0.10647743,0.08091786503791809,0.13129675388336182
1989,0.11143398,0.07941934466362,0.1408449113368988
1990,0.09322729,0.06405648589134216,0.12147673964500427
1991,0.09659281,0.06521537899971008,0.1223689615726471
1992,0.07544378,0.053564220666885376,0.0985613465309143
1993,0.07972841,0.054850369691848755,0.10375025868415833
1994,0.10715198,0.08208590745925903,0.1330757439136505
1995,0.12410434,0.09065650403499603,0.15286636352539062
1996,0.07278775,0.04823927581310272,0.09833937883377075
1997,0.078957886,0.052993133664131165,0.10432487726211548
1998,0.10889281,0.08010394871234894,0.13519123196601868
1999,0.06791079,0.045402348041534424,0.09049120545387268
2000,0.109925285,0.08031152188777924,0.1360410749912262
2001,0.100257225,0.06951862573623657,0.12886059284210205
2002,0.084841296,0.05806945264339447,0.11040595173835754
2003,0.08947821,0.06305763125419617,0.11643669009208679
2004,0.09900191,0.06476819515228271,0.13232624530792236
2005,0.12015575,0.0880754292011261,0.1491723507642746
2006,0.11424015,0.08253443241119385,0.14584410190582275
2007,0.10863979,0.07526908814907074,0.13885881006717682
2008,0.098101266,0.06787310540676117,0.12573963403701782
2009,0.08646923,0.05923996865749359,0.11182525753974915
2010,0.089223735,0.05896618962287903,0.11798813939094543
2011,0.1155995,0.08081686496734619,0.1486978679895401
2012,0.10917583,0.07487289607524872,0.14131173491477966
2013,0.100654066,0.06955923140048981,0.13076063990592957
2014,0.091053866,0.057585209608078,0.12390151619911194
2015,0.1063298,0.07084709405899048,0.1379811316728592
2016,0.12879357,0.09088118374347687,0.16297245025634766
2017,0.10678635,0.07812769711017609,0.1359887421131134
2018,0.12391478,0.08897754549980164,0.15881939232349396
2019,0.116087444,0.07528843730688095,0.1538396030664444
2020,0.120209485,0.08260102570056915,0.1537148505449295
2021,0.10183622,0.06778205931186676,0.13205531239509583
