year,old_care_vir,young_care_vir,old_care_vic,young_care_vic,old_fare_vir,young_fare_vir,old_fare_vic,young_fare_vic,old_loya_vir,young_loya_vir,old_loya_vic,young_loya_vic,old_auth_vir,young_auth_vir,old_auth_vic,young_auth_vic,old_sanc_vir,young_sanc_vir,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice
1950,-0.014116071,0.12274656,0.4908189,0.30023992,-0.17956635,0.03210085,0.11496862,0.01664484,-0.032489784,0.30675903,0.38635978,0.25552195,-0.14025724,0.014930524,0.03291788,-0.10179567,0.09970752,0.2615624,0.11537191,0.0569227,0.4908189,0.11496862,0.38635978,0.03291788,0.11537191,-0.05334438681602478,0.2280874252319336,0.30023992,0.01664484,0.25552195,-0.10179567,0.0569227,0.1476198673248291,0.10550674200057983
1951,-0.05934968,0.13233238,0.5463116,0.43751907,-0.1969503,0.037134044,0.13240176,0.2351386,-0.023234995,0.22761706,0.36547476,0.29496038,-0.14983544,0.05192768,0.05784431,0.05142282,0.09366292,0.28368124,0.11469005,0.13845748,0.5463116,0.13240176,0.36547476,0.05784431,0.11469005,-0.06714149713516235,0.24334449768066407,0.43751907,0.2351386,0.29496038,0.05142282,0.13845748,0.1465384840965271,0.23149967193603516
1952,0.060572878,0.1539418,0.44213986,0.18530917,-0.1570993,0.0015624631,0.05318016,0.019320719,0.0025856048,0.27081695,0.23938124,0.22158484,-0.21994868,-0.07596659,0.11234968,-0.038957316,0.044719644,0.22964048,0.06238179,0.026250998,0.44213986,0.05318016,0.23938124,0.11234968,0.06238179,-0.05383397340774536,0.18188655376434326,0.18530917,0.019320719,0.22158484,-0.038957316,0.026250998,0.11599901914596558,0.0827016830444336
1953,-0.004270468,0.17807278,0.43204182,0.21592027,-0.13293111,0.08485252,0.23235153,0.12976025,0.012624934,0.27685526,0.3221594,0.17236052,-0.19068974,-0.031701393,0.079356894,0.009482883,0.15640464,0.3475817,0.038874507,0.019799683,0.43204182,0.23235153,0.3221594,0.079356894,0.038874507,-0.031772345304489136,0.22095682621002197,0.21592027,0.12976025,0.17236052,0.009482883,0.019799683,0.17113218307495118,0.10946472883224487
1954,-0.04967099,0.14977795,0.48834443,0.29716435,-0.15453914,0.022034645,0.032631114,0.034490038,-0.056214496,0.21554622,0.13271444,0.0672057,-0.18168761,-0.07339683,-0.06508582,-0.095714465,0.033671156,0.24285255,0.08007439,0.047301814,0.48834443,0.032631114,0.13271444,-0.06508582,0.08007439,-0.08168821334838867,0.13373570442199706,0.29716435,0.034490038,0.0672057,-0.095714465,0.047301814,0.11136291027069092,0.07008949518203736
1955,-0.040996093,0.12975973,0.46376675,0.22851378,-0.18426678,-0.081814066,-0.03800707,-0.09159523,-0.056493767,0.2698294,0.34526038,0.19926497,-0.18552619,-0.16029055,-0.07279526,-0.090297885,0.07643315,0.29205108,0.15802418,0.1491208,0.46376675,-0.03800707,0.34526038,-0.07279526,0.15802418,-0.07816993594169616,0.17124979496002196,0.22851378,-0.09159523,0.19926497,-0.090297885,0.1491208,0.08990712165832519,0.07900128364562989
1956,-0.051150456,0.06652523,0.33185917,0.1903278,-0.20504668,-0.07704212,-0.06763521,-0.014894433,0.011102198,0.2741717,0.40179706,0.22529627,-0.10242504,-0.08310413,-0.027541269,-0.091625474,0.10978313,0.24850646,0.13300188,0.042594388,0.33185917,-0.06763521,0.40179706,-0.027541269,0.13300188,-0.047547373175621035,0.15429631471633912,0.1903278,-0.014894433,0.22529627,-0.091625474,0.042594388,0.08581143021583557,0.07033971548080445
1957,-0.058072075,0.11952099,0.3418076,0.28258437,-0.21748376,-0.06131161,-0.013022931,0.052290145,-0.08689737,0.1542814,0.2773521,0.19009344,-0.21170613,-0.10819526,-0.10786773,-0.15545192,0.15429531,0.26247343,0.1130849,0.09597921,0.3418076,-0.013022931,0.2773521,-0.10786773,0.1130849,-0.08397281169891357,0.12227079868316651,0.28258437,0.052290145,0.19009344,-0.15545192,0.09597921,0.07335379123687744,0.09309905171394348
1958,0.024099417,0.06659881,0.3578487,0.1706631,-0.16756415,-0.0975652,-0.12105125,-0.12410057,-0.04981632,0.105898224,0.09549754,0.032062307,-0.13746834,-0.09898023,-0.0706308,-0.16599855,0.10579947,0.21165872,0.034918256,-0.016634023,0.3578487,-0.12105125,0.09549754,-0.0706308,0.034918256,-0.044989985227584836,0.059316492080688475,0.1706631,-0.12410057,0.032062307,-0.16599855,-0.016634023,0.03752206563949585,-0.020801547169685363
1959,0.049973466,0.12763166,0.37994337,0.22672963,-0.18776192,-0.05333779,-0.09437075,-0.104096204,-0.00095289946,0.15008624,0.093827635,0.07365943,-0.14883386,-0.15134445,0.0020103455,-0.09289606,0.11038146,0.26223946,0.11858107,0.067734376,0.37994337,-0.09437075,0.093827635,0.0020103455,0.11858107,-0.035438746213912964,0.0999983310699463,0.22672963,-0.104096204,0.07365943,-0.09289606,0.067734376,0.06705502271652222,0.034226232767105104
1960,-0.020452533,0.044976346,0.3015164,0.14911422,-0.18978497,-0.12772942,-0.01836073,-0.042772837,-0.095670424,0.08154565,0.13143289,0.09559904,-0.14858955,-0.1382665,-0.058560792,-0.104772516,0.003205968,0.1785402,0.01910181,-0.054586694,0.3015164,-0.01836073,0.13143289,-0.058560792,0.01910181,-0.09025830626487732,0.07502591609954834,0.14911422,-0.042772837,0.09559904,-0.104772516,-0.054586694,0.007813256978988648,0.008516241610050202
