year,old_warm,young_warm,old_unwarm,young_unwarm,old_competent,young_competent,old_incompetent,young_incompetent
1950,0.26230606,0.39551786,0.30246562,0.2449491,0.1635989,0.35360885,0.52945185,0.36605865
1951,0.2271088,0.41502434,0.3237899,0.31351137,0.11517473,0.3121956,0.4805373,0.37271744
1952,0.2984702,0.4248599,0.1982288,0.10333547,0.1495342,0.32574895,0.43713537,0.2672252
1953,0.26566994,0.4416504,0.2992664,0.19250225,0.1522884,0.3799864,0.6294333,0.43345362
1954,0.23910905,0.4272902,0.38008368,0.21127856,0.11410308,0.40914798,0.5540913,0.35990712
1955,0.282652,0.42532998,0.46134418,0.28846538,0.26243445,0.46848232,0.69029963,0.39952302
1956,0.31880417,0.42543232,0.4436013,0.2841637,0.23348661,0.4145887,0.5694686,0.31401417
1957,0.3255195,0.44628632,0.36773342,0.30891684,0.14938141,0.36051637,0.4732484,0.40453076
1958,0.35226226,0.3723212,0.3222829,0.19850206,0.09863605,0.264256,0.4785792,0.31765258
1959,0.30208516,0.4035496,0.32161134,0.21714917,0.093565956,0.31049216,0.50123394,0.3401868
1960,0.28492764,0.3568956,0.17002478,0.062502906,0.06908027,0.30530733,0.5111848,0.34721577
1961,0.31757933,0.40837872,0.22397408,0.1756886,0.15665698,0.30509287,0.52034104,0.3200696
1962,0.3302169,0.41036654,0.37571353,0.2621649,0.2718561,0.3804119,0.6247072,0.42332596
1963,0.23782462,0.36934114,0.20022044,0.08764555,0.19659385,0.29122347,0.6063373,0.3903569
1964,0.23404321,0.33367294,0.1554465,0.06795123,0.21229582,0.28494477,0.5262362,0.31411332
1965,0.22227575,0.3055322,0.10114606,0.03091764,0.14713213,0.25095034,0.51180667,0.26566422
1966,0.21622789,0.19079459,0.08449043,0.019851433,-0.02051534,0.07822583,0.41726696,0.16347025
1967,0.2619573,0.27811274,0.028971594,0.032881856,0.16622871,0.18966879,0.36466405,0.18410751
1968,0.2164846,0.19035152,0.032891806,0.12736294,0.09563494,0.15607226,0.35877126,0.272996
1969,0.16206446,0.21589643,0.055725418,0.13043407,-0.010902576,0.1152314,0.48068845,0.34019393
1970,0.147727,0.19709928,0.015772603,0.019404717,0.08737367,0.119669124,0.48015824,0.23524079
1971,0.10869539,0.23862506,0.10492374,0.095249,0.102117755,0.18189433,0.49279976,0.2456882
1972,0.17334823,0.31573927,0.035214044,-0.0047980472,0.093576446,0.24285427,0.40753004,0.20053858
1973,0.14199714,0.3003596,0.15273303,-0.019872457,0.025117412,0.16579905,0.55507696,0.30573985
1974,0.15380314,0.2735891,0.15353286,0.027941003,0.06768878,0.12771177,0.5260042,0.26422083
