,Direction,Lag,F-statistic,p-value,AIC
138,coll -> competent,9,0.83,0.6,-28.03
259,coll -> incompetent,10,1.69,0.12,-28.16
79,coll -> negative,10,1.89,0.08,-28.05
18,coll -> positive,9,0.85,0.58,-28.16
317,coll -> unwarm,8,1.34,0.25,-27.98
438,coll -> vice,9,1.08,0.4,-27.98
378,coll -> virtue,9,2.12,0.05,-28.57
198,coll -> warm,9,1.59,0.15,-28.04
129,indi -> competent,10,3.13,0.01,-26.84
242,indi -> incompetent,3,0.75,0.53,-26.27
62,indi -> negative,3,0.68,0.57,-26.35
2,indi -> positive,3,2.56,0.06,-26.95
302,indi -> unwarm,3,1.33,0.27,-26.46
423,indi -> vice,4,2.79,0.03,-26.45
362,indi -> virtue,3,1.3,0.28,-27.01
182,indi -> warm,3,0.85,0.47,-26.52
149,indicoll -> competent,10,4.16,0.0,-26.93
267,indicoll -> incompetent,8,1.04,0.42,-26.23
82,indicoll -> negative,3,1.07,0.37,-26.26
22,indicoll -> positive,3,1.95,0.13,-26.96
322,indicoll -> unwarm,3,1.42,0.25,-26.34
442,indicoll -> vice,3,1.79,0.16,-26.35
382,indicoll -> virtue,3,0.98,0.41,-27.08
202,indicoll -> warm,3,0.43,0.73,-26.54
169,loose -> competent,10,2.95,0.01,-26.53
289,loose -> incompetent,10,2.08,0.05,-26.43
102,loose -> negative,3,0.16,0.92,-26.2
44,loose -> positive,5,3.68,0.01,-26.82
349,loose -> unwarm,10,2.78,0.01,-26.63
463,loose -> vice,4,4.18,0.0,-26.4
404,loose -> virtue,5,3.48,0.01,-27.03
224,loose -> warm,5,2.63,0.03,-26.48
159,tight -> competent,10,1.46,0.19,-26.59
277,tight -> incompetent,8,0.89,0.53,-26.08
96,tight -> negative,7,1.89,0.09,-26.05
38,tight -> positive,9,1.72,0.11,-26.65
337,tight -> unwarm,8,0.91,0.52,-26.14
456,tight -> vice,7,2.58,0.02,-26.13
398,tight -> virtue,9,0.59,0.8,-26.59
218,tight -> warm,9,1.09,0.39,-26.25
179,tightloose -> competent,10,3.24,0.0,-26.11
299,tightloose -> incompetent,10,1.83,0.09,-25.67
117,tightloose -> negative,8,0.35,0.94,-25.43
58,tightloose -> positive,9,1.32,0.26,-25.97
359,tightloose -> unwarm,10,1.54,0.16,-26.07
477,tightloose -> vice,8,1.66,0.14,-25.65
418,tightloose -> virtue,9,1.13,0.36,-26.26
238,tightloose -> warm,9,1.5,0.18,-25.86
