"Predictor","Order_p_d_q","Coefficient","SE","t","p"
"indi","0,1,0",-26,67.803,-0.383,0.701
"coll","0,1,0",246.71,156.21,1.579,0.114
"tight","1,0,0",74.489,37.213,2.002,0.045
"loose","1,0,0",51.446,16.779,3.066,0.002
"indi","0,1,1",20.329,39.76,0.511,0.609
"coll","0,1,1",238.213,124.863,1.908,0.056
"tight","0,1,1",24.749,44.667,0.554,0.58
"loose","1,0,0",88.593,11.303,7.838,0
"indi","0,1,3",-28.876,43.659,-0.661,0.508
"coll","0,1,3",-33.381,139.126,-0.24,0.81
"tight","0,1,3",64.936,45.96,1.413,0.158
"loose","0,1,3",-22.855,35.538,-0.643,0.52
"indi","1,1,0",-0.756,71.021,-0.011,0.992
"coll","1,1,0",395.585,198.351,1.994,0.046
"tight","1,0,0",102.993,46.324,2.223,0.026
"loose","1,0,0",73.884,19.347,3.819,0
