"Predictor","Order_p_d_q","Coefficient","SE","t","p"
"indi","1,1,1",15.235,33.969,0.448,0.654
"coll","1,1,1",153.738,120.77,1.273,0.203
"tight","0,1,0",32.078,64.885,0.494,0.621
"loose","1,0,0",51.611,13.512,3.82,0
"indi","0,1,1",15.119,39.418,0.384,0.701
"coll","0,1,1",233.352,118.761,1.965,0.049
"tight","0,1,1",27.43,42.498,0.645,0.519
"loose","0,1,1",64.065,27.269,2.349,0.019
"indi","0,1,3",-43.823,45.421,-0.965,0.335
"coll","0,1,4",58.484,133.999,0.436,0.663
"tight","0,1,3",80.559,44.208,1.822,0.068
"loose","0,1,4",-36.599,42.65,-0.858,0.391
"indi","3,1,2",5.181,36.33,0.143,0.887
"coll","2,1,3",339.013,155.484,2.18,0.029
"tight","1,1,0",38.03,71.057,0.535,0.593
"loose","1,0,0",63.281,15.98,3.96,0
