"Predictor","Order_p_d_q","Coefficient","SE","t","p"
"indi","0,1,1",17.788,26.849,0.663,0.508
"coll","1,0,1",165.276,149.201,1.108,0.268
"tight","1,0,0",81.203,22.314,3.639,0
"loose","0,0,0",67.288,8.96,7.51,0
"indi","1,1,0",13.255,45.688,0.29,0.772
"coll","1,1,0",-8.212,230.74,-0.036,0.972
"tight","0,1,1",110.731,42.707,2.593,0.01
"loose","1,1,0",39.399,43.554,0.905,0.366
"indi","0,1,1",-34.148,38.702,-0.882,0.378
"coll","0,1,0",-310.402,349.164,-0.889,0.374
"tight","0,1,1",78.969,46.165,1.711,0.087
"loose","0,1,1",23.326,37.449,0.623,0.533
"indi","1,1,0",3.095,45.084,0.069,0.945
"coll","1,0,0",416.964,107.179,3.89,0
"tight","0,1,1",99.765,38.656,2.581,0.01
"loose","1,1,0",-3.202,44.066,-0.073,0.942
