"","Year","Prob","Means"
"1",1960,0.688,-0.206883741683413
"2",1976,0.432,-0.110181949819334
"3",1961,0.308,-0.132906900475227
"4",1977,0.29,-0.136211238779775
"5",1999,0.276,-0.194015719327737
"6",1995,0.234,-0.158038357968643
"7",2009,0.23,-0.275119434667139
"8",2007,0.226,-0.251405347912631
"9",2001,0.222,-0.216652749018096
"10",2008,0.192,-0.264992955104608
"11",1996,0.184,-0.171742242160028
"12",2006,0.16,-0.242080533790112
"13",1971,0.132,-0.0957805737204586
"14",1998,0.128,-0.186490764157061
"15",2005,0.114,-0.23535486876684
"16",1974,0.092,-0.103398328848601
"17",1994,0.086,-0.154013151564815
"18",1997,0.084,-0.182455663614368
"19",1962,0.078,-0.100676458529813
"20",1975,0.076,-0.107757743649197
"21",2000,0.076,-0.213010557551825
"22",2002,0.07,-0.231398732124087
"23",2014,0.068,-0.291056109753175
"24",1970,0.06,-0.093226691247263
"25",1986,0.06,-0.15291123231912
"26",1952,0.052,-0.206262017214822
"27",2010,0.052,-0.288601323491957
"28",2015,0.052,-0.293639125755457
"29",1993,0.048,-0.152310953757086
"30",1954,0.042,-0.209280073800211
"31",1984,0.042,-0.154483960289273
"32",1992,0.042,-0.151060730476588
"33",1989,0.04,-0.149677189120101
"34",1987,0.038,-0.150692733952066
"35",1966,0.034,-0.0939444481180943
"36",1973,0.034,-0.103060499320881
"37",1978,0.034,-0.153012537723967
"38",1988,0.034,-0.149365270444665
"39",2004,0.034,-0.234141167236917
"40",2020,0.034,-0.295655914713046
"41",1968,0.032,-0.0931147019363758
"42",1980,0.032,-0.153594127042878
"43",1981,0.032,-0.154166269389885
"44",1965,0.03,-0.0945879478126024
"45",1957,0.028,-0.206895196595278
"46",1963,0.028,-0.0955200223351714
"47",1969,0.028,-0.0937067406661376
"48",1985,0.028,-0.153329661774276
"49",2011,0.028,-0.290534180110716
"50",1953,0.026,-0.208088577710832
"51",1964,0.026,-0.0948676846105465
"52",1982,0.026,-0.154894488605394
"53",2003,0.026,-0.234034413050525
"54",2017,0.026,-0.295737851833837
"55",2018,0.026,-0.296032482415107
"56",1950,0.024,-0.205585054949476
"57",1959,0.024,-0.206681096863285
"58",2019,0.024,-0.296289594883508
"59",1956,0.022,-0.207036192043462
"60",1972,0.022,-0.102700822476876
"61",1990,0.022,-0.1511531577406
"62",2012,0.022,-0.290899061515592
"63",2013,0.022,-0.290761539956499
"64",2016,0.022,-0.29554825949623
"65",1951,0.02,-0.20604340691585
"66",1979,0.02,-0.153076372662702
"67",1955,0.018,-0.207436709725673
"68",1983,0.018,-0.154666590808943
"69",1991,0.016,-0.151218661585348
"70",1958,0.01,-0.206463073059379
"71",1967,0.01,-0.0930781691665803
"72",2021,NA,-0.294539521791936
