"","Year","Prob","Means"
"1",1975,0.962,0.242371817792433
"2",1956,0.892,0.245124680652469
"3",1969,0.876,0.142259433305207
"4",2017,0.586,0.253307049772205
"5",1954,0.526,0.199361622234377
"6",1967,0.512,0.182298428465925
"7",1957,0.464,0.115826281544536
"8",2020,0.442,0.3165083815251
"9",1966,0.438,0.216260761431351
"10",2016,0.432,0.218536358495144
"11",2003,0.304,0.192041442181543
"12",1960,0.282,0.179015273404982
"13",2001,0.28,0.178653935540465
"14",1952,0.268,0.168388897397242
"15",1953,0.218,0.185433196147866
"16",2004,0.188,0.205140551003472
"17",1958,0.182,0.161174433567017
"18",1989,0.174,0.150327648258029
"19",1951,0.164,0.159232727999481
"20",1962,0.162,0.201491563175662
"21",1959,0.158,0.171481661515702
"22",1961,0.158,0.195102882797287
"23",1976,0.146,0.148402156543694
"24",1997,0.144,0.16540808698581
"25",2000,0.134,0.17381854935013
"26",1968,0.126,0.134909758735118
"27",1985,0.12,0.157049105552895
"28",1983,0.116,0.152467549057252
"29",1963,0.11,0.207696044084247
"30",2002,0.106,0.191380668131726
"31",1964,0.1,0.211383791049792
"32",1999,0.098,0.171506241776229
"33",1972,0.096,0.236743417912761
"34",1990,0.094,0.156471083326482
"35",1991,0.094,0.158950289597927
"36",1996,0.094,0.162985338266487
"37",1978,0.092,0.15350423262404
"38",1982,0.092,0.150107971629377
"39",1984,0.092,0.156537175219056
"40",1987,0.092,0.151632016074825
"41",2013,0.092,0.21427681683131
"42",1955,0.088,0.246527457674736
"43",1988,0.088,0.150785023866447
"44",2018,0.088,0.309893335791119
"45",2012,0.082,0.216259742533751
"46",1965,0.08,0.215180412840706
"47",1995,0.08,0.164954701637296
"48",1974,0.078,0.241804471541353
"49",1992,0.078,0.161085147787637
"50",1998,0.078,0.170811933755317
"51",2009,0.078,0.213952733500227
"52",2015,0.078,0.216846715256033
"53",1993,0.074,0.162544347507503
"54",2010,0.074,0.214674648227986
"55",2019,0.074,0.314150910926289
"56",1973,0.072,0.239904885617875
"57",1980,0.07,0.14975186379529
"58",1971,0.066,0.236620596505774
"59",1979,0.066,0.150067719356332
"60",1986,0.066,0.152272235928542
"61",1977,0.064,0.15512147883099
"62",2005,0.064,0.211457448061111
"63",1950,0.062,0.160469206332577
"64",2006,0.062,0.212410447977194
"65",2007,0.062,0.213152215533317
"66",1981,0.06,0.149868356851084
"67",1994,0.06,0.163854301106874
"68",1970,0.056,0.235270616946995
"69",2011,0.044,0.216140413241411
"70",2014,0.044,0.216606128621395
"71",2008,0.034,0.213764854298745
"72",2021,NA,0.355420737191448
