"","Year","Prob","Means"
"1",1972,0.826,0.0277113358168923
"2",1966,0.768,0.0797372152896983
"3",1956,0.41,0.128761939043975
"4",2020,0.41,0.25919212784255
"5",2017,0.388,0.179938695391198
"6",1951,0.384,0.0616897606404772
"7",2018,0.364,0.213094325876913
"8",1969,0.36,-0.0334411519371415
"9",1975,0.344,0.121684882392035
"10",1983,0.34,0.139238206805294
"11",2016,0.278,0.161398585227987
"12",1982,0.258,0.12407848608411
"13",1953,0.252,0.111132835399166
"14",1967,0.25,-0.0103060961822054
"15",1952,0.232,0.0936163861903847
"16",1985,0.208,0.16331684307125
"17",1979,0.206,0.0973689729017036
"18",1970,0.198,-0.00562084239373766
"19",1980,0.186,0.108839575497785
"20",1971,0.182,0.00932611235196406
"21",2019,0.156,0.24839557599192
"22",1986,0.144,0.150329370929158
"23",1990,0.138,0.13615902375186
"24",1991,0.138,0.141716514357211
"25",1964,0.126,0.0937206283060238
"26",1981,0.116,0.118740759585634
"27",1987,0.116,0.142807921268603
"28",2014,0.112,0.154341544911013
"29",1965,0.108,0.0877061593509216
"30",1988,0.108,0.137832166274796
"31",1976,0.098,0.0989397034929692
"32",1992,0.086,0.146685977351213
"33",1955,0.084,0.131945241871406
"34",1958,0.082,0.102381741276349
"35",1960,0.082,0.098571045114797
"36",1968,0.082,-0.0361295676029475
"37",1974,0.082,0.1248868307221
"38",1989,0.076,0.133455150019039
"39",1984,0.074,0.16363520488224
"40",1995,0.074,0.150417518993296
"41",2015,0.072,0.159079906701291
"42",1959,0.07,0.100515359756676
"43",1973,0.07,0.128358953682287
"44",1957,0.068,0.102914860023222
"45",1962,0.068,0.0959531857128121
"46",1954,0.064,0.130591872230073
"47",1993,0.064,0.148767624593553
"48",2003,0.064,0.150943710842104
"49",1997,0.062,0.149594688531455
"50",1977,0.06,0.0961957814877209
"51",1961,0.056,0.0962531660979581
"52",1978,0.056,0.097117658764343
"53",2010,0.056,0.152255952687441
"54",2013,0.056,0.153483674025784
"55",1996,0.054,0.149453724175164
"56",2001,0.054,0.15072257951846
"57",2005,0.054,0.152358819744994
"58",1950,0.05,0.0623579037553512
"59",2007,0.05,0.152377732531027
"60",1994,0.046,0.149736446407331
"61",1963,0.042,0.0950443260866669
"62",2004,0.042,0.152000114323192
"63",2011,0.042,0.153006944453943
"64",2000,0.04,0.15061189423841
"65",2002,0.034,0.150714432989709
"66",2006,0.034,0.152306072757451
"67",2008,0.034,0.153057755816968
"68",2009,0.034,0.152699197790313
"69",1999,0.03,0.150312240194402
"70",2012,0.028,0.153430063339919
"71",1998,0.026,0.15028453008211
"72",2021,NA,0.302454989699965
