"","Year","Prob","Means"
"1",1972,0.886,0.0140530927001375
"2",1974,0.758,0.115923257082188
"3",1988,0.61,0.0889444131601582
"4",1982,0.454,0.0525687623461604
"5",2017,0.406,0.0636328981821156
"6",1983,0.354,0.0792224674333768
"7",2016,0.352,0.0444472192281456
"8",1990,0.322,0.0483216798002055
"9",1968,0.264,-0.00598727568615578
"10",1966,0.256,0.0127483035621696
"11",1980,0.242,0.036820034200866
"12",1963,0.228,0.0318001215853128
"13",1992,0.226,0.0742026535467912
"14",2020,0.222,0.0929438113167502
"15",2009,0.208,0.0587782777184288
"16",1979,0.188,0.0289210326590004
"17",1975,0.186,0.0463766900734682
"18",2002,0.184,0.0830737242708499
"19",1991,0.178,0.0664913990348432
"20",2008,0.178,0.0641285540111289
"21",1965,0.172,0.0183057323683948
"22",1993,0.17,0.0836953441328767
"23",2018,0.16,0.0863735871703814
"24",1961,0.156,0.0354292160473258
"25",1964,0.152,0.0228564445549294
"26",2004,0.15,0.0748340404165912
"27",1967,0.148,0.000107584545318915
"28",2012,0.148,0.0458858655633095
"29",1981,0.144,0.0471748400254879
"30",1973,0.142,0.108365163834483
"31",1987,0.14,0.0936839100488853
"32",2006,0.14,0.0698662512035373
"33",2010,0.136,0.0516713021453871
"34",2001,0.132,0.0860972412834978
"35",1950,0.13,0.048951124453737
"36",1976,0.13,0.0354932839220764
"37",1971,0.126,0.00855490050275157
"38",1989,0.126,0.045992083639273
"39",2003,0.126,0.077679806722724
"40",1960,0.124,0.03860458604946
"41",1951,0.12,0.0432290302881247
"42",1962,0.118,0.0310574118983899
"43",2000,0.118,0.0892121964349995
"44",2015,0.118,0.042869595461003
"45",1985,0.108,0.0986347075424491
"46",1994,0.108,0.0890945704657517
"47",1998,0.108,0.0921847324787957
"48",1955,0.106,0.0439403986052863
"49",1954,0.104,0.0461575966441125
"50",1958,0.104,0.0409063779956181
"51",2011,0.102,0.048229243595452
"52",2013,0.098,0.0407397364775609
"53",1959,0.094,0.0404640711197696
"54",1986,0.094,0.0957031422711493
"55",1997,0.092,0.0903340619142745
"56",1953,0.088,0.0476738047603663
"57",1995,0.086,0.0914548825851913
"58",1999,0.086,0.0902971446867741
"59",2014,0.086,0.0414099322048048
"60",2007,0.084,0.0658957214731677
"61",1957,0.082,0.0402464007189723
"62",1956,0.08,0.0414381128293934
"63",2005,0.08,0.0707920820388141
"64",2019,0.08,0.0925647330442683
"65",1969,0.078,0.00876199220876956
"66",1996,0.078,0.0901923124283348
"67",1977,0.076,0.0300409660696078
"68",1984,0.076,0.0987009784080578
"69",1970,0.074,0.00887116154925908
"70",1978,0.072,0.0287902877383953
"71",1952,0.044,0.0472621001949633
"72",2021,NA,0.107058390311756
