"","Year","Prob","Means"
"1",1970,0.984,-0.0765824534249937
"2",1965,0.898,-0.143837046970262
"3",1974,0.768,-0.167387606364903
"4",1955,0.666,-0.205478797905992
"5",1984,0.484,-0.108015625618505
"6",1983,0.426,-0.12929306035783
"7",2004,0.41,-0.0761629762767411
"8",2006,0.286,-0.0993441102779043
"9",1957,0.284,-0.161382814881419
"10",1976,0.284,-0.116473230283277
"11",2015,0.192,-0.124910813788969
"12",2005,0.188,-0.093370561163382
"13",2016,0.186,-0.130553754108957
"14",2014,0.184,-0.119438690467823
"15",1973,0.158,-0.173629000621111
"16",1991,0.154,-0.0720933488070978
"17",1999,0.154,-0.0690987213930199
"18",1956,0.146,-0.167950827303886
"19",1987,0.146,-0.0775846874310552
"20",2000,0.14,-0.073355099837684
"21",1964,0.138,-0.151822013041629
"22",2017,0.134,-0.136462469279257
"23",2013,0.12,-0.116903761887974
"24",1977,0.106,-0.129219856666543
"25",1972,0.102,-0.17694407127429
"26",1998,0.098,-0.0667386750483178
"27",1986,0.09,-0.0801475919544771
"28",2010,0.088,-0.112923199637692
"29",1975,0.08,-0.118974310501103
"30",1969,0.078,-0.0734580826971394
"31",1980,0.072,-0.13218902744472
"32",1960,0.07,-0.147813781903389
"33",1985,0.07,-0.0821240410965364
"34",1982,0.068,-0.130722367539057
"35",1990,0.068,-0.0729405487537551
"36",1992,0.066,-0.0678407828365425
"37",2003,0.066,-0.0763873962385072
"38",2009,0.066,-0.111629629555276
"39",1958,0.064,-0.145691943180476
"40",1978,0.062,-0.13283925911905
"41",1993,0.062,-0.0671003416199863
"42",2011,0.062,-0.114973001419744
"43",1997,0.06,-0.0668920536333995
"44",2001,0.06,-0.077483477413526
"45",1961,0.056,-0.149651781629029
"46",1962,0.056,-0.150562929534998
"47",2018,0.056,-0.140407810039013
"48",1996,0.054,-0.0673771704616977
"49",1995,0.052,-0.0665303494255939
"50",2012,0.052,-0.116494117146218
"51",1954,0.05,-0.206769316189535
"52",1988,0.048,-0.0726960256216254
"53",1989,0.048,-0.0735131085914967
"54",2007,0.048,-0.110607414617538
"55",2008,0.048,-0.110980025875221
"56",1953,0.044,-0.206624200664981
"57",1967,0.044,-0.0727064121796078
"58",2020,0.044,-0.140859093515228
"59",1963,0.042,-0.151410237675422
"60",1966,0.042,-0.0724357473725357
"61",1971,0.042,-0.176916797801807
"62",2019,0.04,-0.141114682233542
"63",1950,0.036,-0.206941356116696
"64",1981,0.034,-0.130837799542895
"65",1968,0.032,-0.0733743373839685
"66",1979,0.032,-0.132406780520986
"67",1951,0.03,-0.207072983191658
"68",1994,0.028,-0.0664852194413848
"69",2002,0.026,-0.0764800400167951
"70",1952,0.024,-0.206603355572519
"71",1959,0.02,-0.147493298708535
"72",2021,NA,-0.139784110782693
