"","Year","Prob","Means"
"1",1957,0.53,-0.118281492589335
"2",2004,0.496,-0.0839270319503134
"3",1970,0.436,-0.0818422173781346
"4",1955,0.37,-0.148026366755311
"5",1968,0.302,-0.0807950522492177
"6",1983,0.294,-0.0948256181235506
"7",1969,0.292,-0.0643751306706913
"8",1956,0.204,-0.128587436111554
"9",1965,0.204,-0.0861051404066511
"10",1964,0.19,-0.09121119730916
"11",2005,0.186,-0.103529458273279
"12",1954,0.176,-0.154801179046257
"13",2009,0.172,-0.111531855303914
"14",1999,0.16,-0.0803272441865849
"15",1977,0.148,-0.0936296614946911
"16",1998,0.134,-0.0772949168920768
"17",1974,0.132,-0.0956088228325161
"18",1971,0.116,-0.103627582045737
"19",1973,0.112,-0.0984950746830213
"20",1953,0.11,-0.157387855934216
"21",1984,0.108,-0.0875286953138226
"22",1990,0.108,-0.0826232895171549
"23",2000,0.108,-0.0844215387449679
"24",2010,0.106,-0.115957625476143
"25",1982,0.104,-0.0967650505604828
"26",1987,0.094,-0.0852519468610474
"27",1991,0.092,-0.0805806580728945
"28",2003,0.092,-0.0859333037007327
"29",2013,0.092,-0.121399383944075
"30",2014,0.086,-0.122811090998728
"31",1972,0.084,-0.10019024160461
"32",2011,0.084,-0.118549487975448
"33",2008,0.08,-0.110380701480904
"34",1967,0.078,-0.0793059315748851
"35",1978,0.078,-0.0979251889302976
"36",2012,0.078,-0.120138292154671
"37",1997,0.076,-0.0767291773581042
"38",1992,0.074,-0.0790792148081668
"39",1993,0.074,-0.0782279657169641
"40",2007,0.074,-0.109378769378862
"41",1976,0.072,-0.0924405304587978
"42",1989,0.072,-0.0835216641119289
"43",2006,0.068,-0.10819103604819
"44",1951,0.066,-0.159054582340692
"45",1980,0.066,-0.0981604580082248
"46",1986,0.066,-0.0860940521636778
"47",1958,0.064,-0.0908353910092878
"48",1985,0.064,-0.0853902748014867
"49",1962,0.06,-0.0917040630207424
"50",2015,0.06,-0.124196289809884
"51",2001,0.058,-0.0868812708956537
"52",1988,0.056,-0.0833694138047348
"53",1996,0.056,-0.0773343574661626
"54",1966,0.054,-0.0793365133691116
"55",1981,0.054,-0.0972733249207393
"56",1963,0.052,-0.0914174871414478
"57",1975,0.05,-0.0923886797173228
"58",1979,0.05,-0.098528016839556
"59",1995,0.048,-0.0771008293029131
"60",2016,0.048,-0.124964302221393
"61",2019,0.046,-0.12549776759902
"62",1950,0.044,-0.159418072699894
"63",1960,0.042,-0.0911932479926346
"64",1959,0.038,-0.0913237969919274
"65",2017,0.038,-0.125732214074944
"66",2018,0.038,-0.125882991082708
"67",1952,0.036,-0.157592993954228
"68",1961,0.034,-0.0916777126491466
"69",1994,0.032,-0.0771881879572086
"70",2002,0.03,-0.0860497852615433
"71",2020,0.026,-0.125351351756898
"72",2021,NA,-0.124965055718727
