"","Year","Prob","Means"
"1",1975,0.992,-0.101922804750697
"2",1977,0.984,0.0436956111672769
"3",1965,0.962,-0.0879127265631574
"4",1970,0.894,-0.0406799615814857
"5",1984,0.714,-0.0529306392421166
"6",2018,0.514,-0.0875604322053758
"7",1968,0.472,-0.00427797653941957
"8",1955,0.454,-0.141492929503121
"9",1957,0.448,-0.107281398070943
"10",2006,0.42,-0.0422536195753266
"11",2005,0.416,-0.0212035497681002
"12",1998,0.412,0.0124680859480283
"13",1986,0.328,0.00292380608698792
"14",2017,0.284,-0.0755360483479851
"15",1974,0.262,-0.119333447780274
"16",1958,0.252,-0.0707691738714195
"17",1995,0.234,0.0254358254175806
"18",1954,0.228,-0.153009234202706
"19",1999,0.228,-0.00481395408104992
"20",1973,0.148,-0.126032684769519
"21",1956,0.146,-0.113986727685925
"22",1980,0.128,-0.0595486412366147
"23",2000,0.122,-0.0143753509837287
"24",2004,0.112,-0.0173134369042107
"25",1985,0.104,-0.000886892994314437
"26",1969,0.09,-0.0356268864811625
"27",2016,0.088,-0.0723832017868344
"28",1996,0.086,0.0157144872484521
"29",2014,0.086,-0.0684280809633706
"30",1997,0.08,0.0142208996297233
"31",2007,0.08,-0.0633036523911604
"32",1964,0.076,-0.0905562573441804
"33",1966,0.076,-0.00134108333427813
"34",1981,0.072,-0.055476238060401
"35",2015,0.072,-0.0705224654889325
"36",2020,0.072,-0.116612443389806
"37",1976,0.07,0.0462275540732191
"38",1952,0.066,-0.151738183795924
"39",1993,0.066,0.0247492252206453
"40",1950,0.064,-0.150213076038743
"41",2009,0.064,-0.0654134531151318
"42",2012,0.064,-0.0665637022500529
"43",1971,0.062,-0.124235822610084
"44",1978,0.062,-0.061601369534809
"45",1983,0.062,-0.053425849348866
"46",1991,0.062,0.0231728867308396
"47",1987,0.06,0.021214918446258
"48",2008,0.06,-0.0647200729559428
"49",1953,0.056,-0.152920030971982
"50",1961,0.056,-0.0885652923706694
"51",1959,0.054,-0.08709020478861
"52",1992,0.054,0.0241667102351529
"53",1962,0.052,-0.0895688829130172
"54",1982,0.052,-0.0540640002566977
"55",2001,0.052,-0.0181522640306158
"56",2002,0.052,-0.0178894600269495
"57",1960,0.05,-0.0875664789000674
"58",1979,0.05,-0.0593760067332349
"59",1994,0.048,0.0257650628597355
"60",2013,0.048,-0.0672822553053345
"61",2003,0.046,-0.0176207701320436
"62",2011,0.046,-0.0666178901299017
"63",2019,0.046,-0.116391215816775
"64",1972,0.044,-0.126069952682432
"65",1951,0.042,-0.152275833579237
"66",1967,0.042,-0.00420021428351857
"67",1988,0.038,0.0227164834360561
"68",1963,0.036,-0.090982652820634
"69",2010,0.034,-0.0664895375321427
"70",1990,0.032,0.0229071319120679
"71",1989,0.03,0.0226677894746319
"72",2021,NA,-0.114610515065623
