"IV","DV","best_lag","p_value"
"indi (diff)","positive (diff)",10,0.643
"positive (diff)","indi (diff)",10,0.148
"coll (diff)","positive (diff)",1,0.695
"positive (diff)","coll (diff)",1,0.452
"tight (diff)","positive (diff)",6,0.85
"positive (diff)","tight (diff)",6,0.136
"loose (diff)","positive (diff)",4,0.047
"positive (diff)","loose (diff)",4,0.232
"indi (diff)","competent (diff)",2,0.21
"competent (diff)","indi (diff)",2,0.673
"coll (diff)","competent (diff)",2,0.277
"competent (diff)","coll (diff)",2,0.767
"tight (diff)","competent (diff)",10,0.213
"competent (diff)","tight (diff)",10,0.096
"loose (diff)","competent (diff)",10,0.177
"competent (diff)","loose (diff)",10,0.795
"indi (diff)","warm (diff)",10,0.607
"warm (diff)","indi (diff)",10,0.878
"coll (diff)","warm (diff)",1,0.684
"warm (diff)","coll (diff)",1,0.077
"tight (diff)","warm (diff)",8,0.258
"warm (diff)","tight (diff)",8,0.185
"loose (diff)","warm (diff)",10,0.682
"warm (diff)","loose (diff)",10,0.448
"indi (diff)","virtue (diff)",10,0.503
"virtue (diff)","indi (diff)",10,0.516
"coll (diff)","virtue (diff)",1,0.644
"virtue (diff)","coll (diff)",1,0.409
"tight (diff)","virtue (diff)",6,0.973
"virtue (diff)","tight (diff)",6,0.257
"loose (diff)","virtue (diff)",10,0.711
"virtue (diff)","loose (diff)",10,0.11
