"IV","DV","best_lag","p_value"
"indi (diff)","virtue (diff)",9,0.51
"virtue (diff)","indi (diff)",9,0.483
"coll (diff)","virtue (diff)",10,0.213
"virtue (diff)","coll (diff)",10,0.279
"tight (diff)","virtue (diff)",10,0.29
"virtue (diff)","tight (diff)",10,0.694
"loose (diff)","virtue (diff)",10,0.757
"virtue (diff)","loose (diff)",10,0.11
"indi (diff)","positive (diff)",10,0.5
"positive (diff)","indi (diff)",10,0.537
"coll (diff)","positive (diff)",9,0.043
"positive (diff)","coll (diff)",9,0.195
"tight (diff)","positive (diff)",9,0.239
"positive (diff)","tight (diff)",9,0.021
"loose (diff)","positive (diff)",10,0.319
"positive (diff)","loose (diff)",10,0.588
"indi (diff)","competent (diff)",10,0.423
"competent (diff)","indi (diff)",10,0.506
"coll (diff)","competent (diff)",10,0.151
"competent (diff)","coll (diff)",10,0.009
"tight (diff)","competent (diff)",10,0.95
"competent (diff)","tight (diff)",10,0.058
"loose (diff)","competent (diff)",10,0.91
"competent (diff)","loose (diff)",10,0.042
"indi (diff)","warm (diff)",10,0.335
"warm (diff)","indi (diff)",10,0.162
"coll (diff)","warm (diff)",10,0.048
"warm (diff)","coll (diff)",10,0.442
"tight (diff)","warm (diff)",10,0.355
"warm (diff)","tight (diff)",10,0.94
"loose (diff)","warm (diff)",10,0.606
"warm (diff)","loose (diff)",10,0.433
