"IV","DV","best_lag","p_value"
"indi","negative",1,0.289
"negative","indi",1,0.573
"coll","negative",1,0.152
"negative","coll",1,0.06
"loose","negative",1,0.559
"negative","loose",1,0.301
"indi","warm",3,0.471
"warm","indi",3,0.081
"coll","warm",2,0.74
"warm","coll",2,0.131
"tight","warm",1,0.271
"warm","tight",1,0.264
"loose","warm",1,0.013
"warm","loose",1,0.547
"indi","unwarm",1,0.055
"unwarm","indi",1,0.811
"indi","virtue",1,0.373
"virtue","indi",1,0
"coll","virtue",1,0.732
"virtue","coll",1,0.497
"loose","virtue",1,0.009
"virtue","loose",1,0.333
"indi","vice",1,0.115
"vice","indi",1,0.035
