,Direction,Lag,F-statistic,p-value,AIC
109,competent -> coll,10,1.35,0.24,-28.08
27,competent -> indi,8,1.28,0.28,-26.41
189,competent -> indicoll,10,1.84,0.09,-26.44
349,competent -> loose,10,0.65,0.76,-26.26
267,competent -> tight,8,1.45,0.2,-26.33
429,competent -> tightloose,10,1.63,0.13,-26.0
128,incompetent -> coll,9,2.24,0.04,-27.93
46,incompetent -> indi,7,0.81,0.58,-26.17
205,incompetent -> indicoll,6,1.43,0.22,-26.18
367,incompetent -> loose,8,2.62,0.02,-26.07
286,incompetent -> tight,7,0.86,0.55,-26.05
449,incompetent -> tightloose,10,1.24,0.3,-25.42
98,negative -> coll,9,1.59,0.15,-27.9
10,negative -> indi,1,4.9,0.03,-26.42
176,negative -> indicoll,7,1.42,0.22,-26.34
330,negative -> loose,1,2.38,0.13,-26.26
256,negative -> tight,7,1.31,0.27,-26.0
414,negative -> tightloose,5,0.75,0.59,-25.33
87,positive -> coll,8,0.47,0.87,-28.14
0,positive -> indi,1,1.26,0.27,-26.93
160,positive -> indicoll,1,0.61,0.44,-26.91
320,positive -> loose,1,0.64,0.43,-26.83
247,positive -> tight,8,1.54,0.17,-26.64
400,positive -> tightloose,1,0.1,0.75,-25.89
136,unwarm -> coll,7,0.79,0.6,-27.9
50,unwarm -> indi,1,1.55,0.22,-26.42
210,unwarm -> indicoll,1,0.52,0.47,-26.32
377,unwarm -> loose,8,1.7,0.12,-26.59
296,unwarm -> tight,7,0.63,0.73,-26.06
459,unwarm -> tightloose,10,2.54,0.02,-25.93
159,vice -> coll,10,1.78,0.1,-27.78
70,vice -> indi,1,3.66,0.06,-26.37
230,vice -> indicoll,1,2.63,0.11,-26.31
390,vice -> loose,1,4.11,0.05,-26.27
316,vice -> tight,7,0.98,0.45,-26.04
479,vice -> tightloose,10,0.89,0.55,-25.36
147,virtue -> coll,8,0.55,0.81,-28.44
60,virtue -> indi,1,0.23,0.63,-27.1
220,virtue -> indicoll,1,1.44,0.23,-27.1
382,virtue -> loose,3,0.97,0.41,-27.07
307,virtue -> tight,8,0.76,0.64,-26.71
469,virtue -> tightloose,10,1.0,0.46,-26.35
117,warm -> coll,8,0.41,0.91,-27.93
30,warm -> indi,1,0.01,0.93,-26.48
190,warm -> indicoll,1,1.25,0.27,-26.48
352,warm -> loose,3,0.3,0.83,-26.4
277,warm -> tight,8,1.24,0.3,-26.31
438,warm -> tightloose,9,2.3,0.03,-25.9
